Date,High,Low,Open,Close,Volume,Adj Close,Moving_av,Upper_volatility,Lower_volatility,Short_resistance,Short_support,Long_resistance,Long_support,trend_hit,Dow_jones,snp500
2017-05-10,953.75,945.0,953.5,948.9500122070312,2096500,948.9500122070312,948.9500122070312,948.9500122070312,948.9500122070312,953.75,945.0,953.75,945.0,55,20943.11,2399.63
2017-05-11,950.2899780273438,940.780029296875,945.1099853515624,947.6199951171876,2194100,947.6199951171876,948.2850036621094,977.4185125732422,920.4815118408203,953.75,940.780029296875,953.75,940.780029296875,55,20919.42,2394.44
2017-05-12,962.7899780273438,951.530029296875,954.5,961.3499755859376,3625900,961.3499755859376,952.6399943033853,976.7335537719728,919.836453552246,962.7899780273438,940.780029296875,962.7899780273438,940.780029296875,55,20896.61,2390.9
2017-05-15,963.1500244140624,956.0599975585938,958.72998046875,957.969970703125,4270600,957.969970703125,953.9724884033203,981.2191941324867,924.0607944742841,963.1500244140624,940.780029296875,963.1500244140624,940.780029296875,54,20981.94,2402.32
2017-05-16,970.0599975585938,960.9099731445312,961.0,966.0700073242188,3126100,966.0700073242188,956.3919921875,982.5916630554201,925.3533137512208,970.0599975585938,940.780029296875,970.0599975585938,940.780029296875,54,20979.75,2400.67
2017-05-17,960.4000244140624,944.1199951171876,954.7000122070312,944.760009765625,5145600,944.760009765625,954.4533284505208,985.083751953125,927.7002324218753,970.0599975585938,940.780029296875,970.0599975585938,940.780029296875,54,20606.93,2357.03
2017-05-18,962.75,944.760009765625,944.7999877929688,958.489990234375,3939300,958.489990234375,955.0299944196428,983.0869283040364,925.8197285970053,970.0599975585938,940.780029296875,970.0599975585938,940.780029296875,54,20663.02,2365.72
2017-05-19,968.9199829101562,959.719970703125,962.8400268554688,959.8400268554688,3972100,959.8400268554688,955.6312484741212,983.6808942522322,926.3790945870537,970.0599975585938,940.780029296875,970.0599975585938,940.780029296875,54,20804.84,2381.73
2017-05-22,971.3800048828124,962.9000244140624,964.0,970.6699829101562,2642200,970.6699829101562,957.302218967014,984.3001859283447,926.9623110198976,971.3800048828124,940.780029296875,971.3800048828124,940.780029296875,55,20894.83,2394.02
2017-05-23,975.2000122070312,966.8499755859376,975.02001953125,971.5399780273438,2415600,971.5399780273438,958.7259948730467,986.0212855360244,928.5831523980033,975.2000122070312,940.780029296875,975.2000122070312,940.780029296875,55,20937.91,2398.42
2017-05-24,981.0,970.22998046875,976.0,980.3499755859376,2446000,980.3499755859376,960.6918113014917,987.4877747192382,929.9642150268553,981.0,940.780029296875,981.0,940.780029296875,55,21012.42,2404.39
2017-05-25,999.0,982.1099853515624,984.8499755859376,993.3800048828124,4822000,993.3800048828124,963.4158274332683,989.5125656405362,931.8710569624468,999.0,944.1199951171876,999.0,940.780029296875,55,21082.95,2415.07
2017-05-26,998.6500244140624,989.25,995.0,995.780029296875,3469200,995.780029296875,965.9053814227764,992.3183022562662,934.5133526102702,999.0,944.1199951171876,999.0,940.780029296875,55,21080.28,2415.82
2017-05-30,1001.2000122070312,995.52001953125,996.510009765625,996.7000122070312,3263100,996.7000122070312,968.104997907366,994.8825428654598,936.9282199800932,1001.2000122070312,944.1199951171876,1001.2000122070312,940.780029296875,55,21029.47,2412.91
2017-05-31,1000.1199951171876,982.1599731445312,1000.0,994.6199951171876,3913100,994.6199951171876,969.8726643880208,997.1481478445869,939.0618479701452,1001.2000122070312,944.1199951171876,1001.2000122070312,940.780029296875,55,21008.65,2411.8
2017-06-01,998.989990234375,991.3699951171876,998.5900268554688,995.9500122070312,2454800,995.9500122070312,971.502498626709,998.9688443196616,940.77648445638,1001.2000122070312,944.760009765625,1001.2000122070312,940.780029296875,55,21144.18,2430.06
