Date,High,Low,Open,Close,Volume,Adj Close,Moving_av,Upper_volatility,Lower_volatility,Short_resistance,Short_support,Long_resistance,Long_support
2017-05-10,953.75,945.0,953.5,948.9500122070312,2096500,948.9500122070312,948.9500122070312,948.9500122070312,948.9500122070312,953.75,945.0,953.75,945.0
2017-05-11,950.2899780273438,940.780029296875,945.1099853515624,947.6199951171876,2194100,947.6199951171876,948.2850036621094,977.4185125732422,920.4815118408203,953.75,940.780029296875,953.75,940.780029296875
2017-05-12,962.7899780273438,951.530029296875,954.5,961.3499755859376,3625900,961.3499755859376,952.6399943033854,976.7335537719727,919.8364535522461,962.7899780273438,940.780029296875,962.7899780273438,940.780029296875
2017-05-15,963.1500244140624,956.0599975585938,958.72998046875,957.969970703125,4270600,957.969970703125,953.9724884033203,981.2191941324869,924.0607944742839,963.1500244140624,940.780029296875,963.1500244140624,940.780029296875
2017-05-16,970.0599975585938,960.9099731445312,961.0,966.0700073242188,3126100,966.0700073242188,956.3919921875,982.5916630554199,925.3533137512208,970.0599975585938,940.780029296875,970.0599975585938,940.780029296875
2017-05-17,960.4000244140624,944.1199951171876,954.7000122070312,944.760009765625,5145600,944.760009765625,954.4533284505209,985.083751953125,927.7002324218751,970.0599975585938,940.780029296875,970.0599975585938,940.780029296875
2017-05-18,962.75,944.760009765625,944.7999877929688,958.489990234375,3939300,958.489990234375,955.0299944196429,983.0869283040365,925.8197285970052,970.0599975585938,940.780029296875,970.0599975585938,940.780029296875
2017-05-19,968.9199829101562,959.719970703125,962.8400268554688,959.8400268554688,3972100,959.8400268554688,955.6312484741211,983.6808942522322,926.3790945870536,970.0599975585938,940.780029296875,970.0599975585938,940.780029296875
2017-05-22,971.3800048828124,962.9000244140624,964.0,970.6699829101562,2642200,970.6699829101562,957.3022189670139,984.3001859283447,926.9623110198975,971.3800048828124,940.780029296875,971.3800048828124,940.780029296875
2017-05-23,975.2000122070312,966.8499755859376,975.02001953125,971.5399780273438,2415600,971.5399780273438,958.7259948730468,986.0212855360244,928.5831523980034,975.2000122070312,940.780029296875,975.2000122070312,940.780029296875
2017-05-24,981.0,970.22998046875,976.0,980.3499755859376,2446000,980.3499755859376,960.6918113014915,987.4877747192382,929.9642150268554,981.0,940.780029296875,981.0,940.780029296875
